video,has_annotation,T_segments,gt_abn,pseudo_abn,pseudo_ratio,gt_ratio,tp,fp,fn,tn,precision,recall,f1
08_0044,1,19,11,4,0.21052631578947367,0.5789473684210527,4,0,7,8,1.0,0.36363636363636365,0.5333333333333333
08_005,0,48,0,11,0.22916666666666666,0.0,0,11,0,37,0.0,0.0,0.0
08_0078,1,13,11,3,0.23076923076923078,0.8461538461538461,1,2,10,0,0.3333333333333333,0.09090909090909091,0.14285714285714288
08_0079,1,15,8,0,0.0,0.5333333333333333,0,0,8,7,0.0,0.0,0.0
08_009,0,69,0,16,0.2318840579710145,0.0,0,16,0,53,0.0,0.0,0.0
08_012,0,49,0,8,0.16326530612244897,0.0,0,8,0,41,0.0,0.0,0.0
08_013,0,49,0,12,0.24489795918367346,0.0,0,12,0,37,0.0,0.0,0.0
08_014,0,49,0,0,0.0,0.0,0,0,0,49,0.0,0.0,0.0
08_015,0,36,0,4,0.1111111111111111,0.0,0,4,0,32,0.0,0.0,0.0
08_0156,1,21,7,6,0.2857142857142857,0.3333333333333333,0,6,7,8,0.0,0.0,0.0
08_0159,1,16,9,3,0.1875,0.5625,2,1,7,6,0.6666666666666666,0.2222222222222222,0.3333333333333333
08_017,0,58,0,10,0.1724137931034483,0.0,0,10,0,48,0.0,0.0,0.0
08_0178,1,16,10,0,0.0,0.625,0,0,10,6,0.0,0.0,0.0
08_0179,1,21,14,6,0.2857142857142857,0.6666666666666666,5,1,9,6,0.8333333333333334,0.35714285714285715,0.5
08_018,0,58,0,13,0.22413793103448276,0.0,0,13,0,45,0.0,0.0,0.0
08_019,0,54,0,7,0.12962962962962962,0.0,0,7,0,47,0.0,0.0,0.0
08_020,0,54,0,5,0.09259259259259259,0.0,0,5,0,49,0.0,0.0,0.0
08_022,0,51,0,7,0.13725490196078433,0.0,0,7,0,44,0.0,0.0,0.0
08_026,0,67,0,13,0.19402985074626866,0.0,0,13,0,54,0.0,0.0,0.0
08_027,0,85,0,27,0.3176470588235294,0.0,0,27,0,58,0.0,0.0,0.0
08_031,0,50,0,8,0.16,0.0,0,8,0,42,0.0,0.0,0.0
08_033,0,50,0,6,0.12,0.0,0,6,0,44,0.0,0.0,0.0
08_035,0,50,0,9,0.18,0.0,0,9,0,41,0.0,0.0,0.0
08_036,0,72,0,10,0.1388888888888889,0.0,0,10,0,62,0.0,0.0,0.0
08_038,0,45,0,17,0.37777777777777777,0.0,0,17,0,28,0.0,0.0,0.0
08_039,0,45,0,6,0.13333333333333333,0.0,0,6,0,39,0.0,0.0,0.0
08_040,0,45,0,5,0.1111111111111111,0.0,0,5,0,40,0.0,0.0,0.0
08_041,0,45,0,7,0.15555555555555556,0.0,0,7,0,38,0.0,0.0,0.0
08_042,0,45,0,0,0.0,0.0,0,0,0,45,0.0,0.0,0.0
08_044,0,49,0,14,0.2857142857142857,0.0,0,14,0,35,0.0,0.0,0.0
08_049,0,88,0,17,0.19318181818181818,0.0,0,17,0,71,0.0,0.0,0.0
09_001,0,88,0,5,0.056818181818181816,0.0,0,5,0,83,0.0,0.0,0.0
09_004,0,73,0,8,0.1095890410958904,0.0,0,8,0,65,0.0,0.0,0.0
09_0057,1,22,7,5,0.22727272727272727,0.3181818181818182,4,1,3,14,0.8,0.5714285714285714,0.6666666666666666
09_006,0,50,0,15,0.3,0.0,0,15,0,35,0.0,0.0,0.0
09_008,0,47,0,9,0.19148936170212766,0.0,0,9,0,38,0.0,0.0,0.0
09_009,0,62,0,6,0.0967741935483871,0.0,0,6,0,56,0.0,0.0,0.0
09_010,0,40,0,14,0.35,0.0,0,14,0,26,0.0,0.0,0.0
10_001,0,28,0,7,0.25,0.0,0,7,0,21,0.0,0.0,0.0
10_002,0,54,0,7,0.12962962962962962,0.0,0,7,0,47,0.0,0.0,0.0
10_003,0,90,0,20,0.2222222222222222,0.0,0,20,0,70,0.0,0.0,0.0
10_0037,1,27,20,7,0.25925925925925924,0.7407407407407407,7,0,13,7,1.0,0.35,0.5185185185185185
10_006,0,45,0,11,0.24444444444444444,0.0,0,11,0,34,0.0,0.0,0.0
10_007,0,50,0,14,0.28,0.0,0,14,0,36,0.0,0.0,0.0
10_0074,1,37,35,10,0.2702702702702703,0.9459459459459459,10,0,25,2,1.0,0.2857142857142857,0.4444444444444445
10_0075,1,31,8,8,0.25806451612903225,0.25806451612903225,6,2,2,21,0.75,0.75,0.75
10_010,0,68,0,20,0.29411764705882354,0.0,0,20,0,48,0.0,0.0,0.0
11_001,0,34,0,4,0.11764705882352941,0.0,0,4,0,30,0.0,0.0,0.0
11_002,0,84,0,18,0.21428571428571427,0.0,0,18,0,66,0.0,0.0,0.0
11_007,0,29,0,7,0.2413793103448276,0.0,0,7,0,22,0.0,0.0,0.0
11_008,0,39,0,8,0.20512820512820512,0.0,0,8,0,31,0.0,0.0,0.0
11_009,0,112,0,11,0.09821428571428571,0.0,0,11,0,101,0.0,0.0,0.0
11_010,0,32,0,4,0.125,0.0,0,4,0,28,0.0,0.0,0.0
11_0176,1,21,11,6,0.2857142857142857,0.5238095238095238,6,0,5,10,1.0,0.5454545454545454,0.7058823529411764
12_002,0,47,0,18,0.3829787234042553,0.0,0,18,0,29,0.0,0.0,0.0
12_003,0,45,0,13,0.28888888888888886,0.0,0,13,0,32,0.0,0.0,0.0
12_005,0,73,0,13,0.1780821917808219,0.0,0,13,0,60,0.0,0.0,0.0
12_006,0,54,0,8,0.14814814814814814,0.0,0,8,0,46,0.0,0.0,0.0
12_009,0,56,0,11,0.19642857142857142,0.0,0,11,0,45,0.0,0.0,0.0
12_010,0,87,0,11,0.12643678160919541,0.0,0,11,0,76,0.0,0.0,0.0
12_013,0,260,0,60,0.23076923076923078,0.0,0,60,0,200,0.0,0.0,0.0
12_014,0,257,0,45,0.17509727626459143,0.0,0,45,0,212,0.0,0.0,0.0
12_0143,1,16,13,0,0.0,0.8125,0,0,13,3,0.0,0.0,0.0
12_0148,1,19,13,5,0.2631578947368421,0.6842105263157895,4,1,9,5,0.8,0.3076923076923077,0.4444444444444444
12_0149,1,15,9,4,0.26666666666666666,0.6,4,0,5,6,1.0,0.4444444444444444,0.6153846153846153
12_0152,1,22,19,4,0.18181818181818182,0.8636363636363636,4,0,15,3,1.0,0.21052631578947367,0.34782608695652173
12_0154,1,24,19,0,0.0,0.7916666666666666,0,0,19,5,0.0,0.0,0.0
12_0175,1,16,10,0,0.0,0.625,0,0,10,6,0.0,0.0,0.0
13_002,0,40,0,9,0.225,0.0,0,9,0,31,0.0,0.0,0.0
13_003,0,40,0,6,0.15,0.0,0,6,0,34,0.0,0.0,0.0
13_004,0,58,0,12,0.20689655172413793,0.0,0,12,0,46,0.0,0.0,0.0
13_007,0,69,0,14,0.2028985507246377,0.0,0,14,0,55,0.0,0.0,0.0
