video,has_annotation,T_segments,gt_abn,pseudo_abn,pseudo_ratio,gt_ratio,tp,fp,fn,tn,precision,recall,f1
11_010,0,32,0,8,0.25,0.0,0,8,0,24,0.0,0.0,0.0
11_0176,1,21,11,6,0.2857142857142857,0.5238095238095238,6,0,5,10,1.0,0.5454545454545454,0.7058823529411764
12_002,0,47,0,14,0.2978723404255319,0.0,0,14,0,33,0.0,0.0,0.0
12_003,0,45,0,8,0.17777777777777778,0.0,0,8,0,37,0.0,0.0,0.0
12_005,0,73,0,7,0.0958904109589041,0.0,0,7,0,66,0.0,0.0,0.0
12_006,0,54,0,8,0.14814814814814814,0.0,0,8,0,46,0.0,0.0,0.0
12_009,0,56,0,9,0.16071428571428573,0.0,0,9,0,47,0.0,0.0,0.0
12_010,0,87,0,9,0.10344827586206896,0.0,0,9,0,78,0.0,0.0,0.0
12_013,0,260,0,41,0.1576923076923077,0.0,0,41,0,219,0.0,0.0,0.0
12_014,0,257,0,29,0.11284046692607004,0.0,0,29,0,228,0.0,0.0,0.0
12_0143,1,16,13,6,0.375,0.8125,6,0,7,3,1.0,0.46153846153846156,0.631578947368421
12_0148,1,19,13,7,0.3684210526315789,0.6842105263157895,5,2,8,4,0.7142857142857143,0.38461538461538464,0.5
12_0149,1,15,9,7,0.4666666666666667,0.6,7,0,2,6,1.0,0.7777777777777778,0.8750000000000001
12_0152,1,22,19,5,0.22727272727272727,0.8636363636363636,5,0,14,3,1.0,0.2631578947368421,0.4166666666666667
12_0154,1,24,19,6,0.25,0.7916666666666666,6,0,13,5,1.0,0.3157894736842105,0.4799999999999999
12_0175,1,16,10,5,0.3125,0.625,5,0,5,6,1.0,0.5,0.6666666666666666
13_002,0,40,0,8,0.2,0.0,0,8,0,32,0.0,0.0,0.0
13_003,0,40,0,8,0.2,0.0,0,8,0,32,0.0,0.0,0.0
13_004,0,58,0,13,0.22413793103448276,0.0,0,13,0,45,0.0,0.0,0.0
13_007,0,69,0,14,0.2028985507246377,0.0,0,14,0,55,0.0,0.0,0.0
